CRN,Subject,Course,INSM Code,Schedule Code,Description,Hrs,Start Date,Days,Begin,End,Building,Room,Instructor,Available Seats,Total Seats
1333,FIN,0350,INET,DLR,Financial Management,3,01/12/2026,TBA,null,null,ONLINE,TBA,Nichols,35,35
1335,FIN,0350,TRAD,CLS,Financial Management,3,01/12/2026,"M,W,F",1000,1050,PLASTR,322,Butt,35,35
1337,FIN,0421,TRAD,CLS,Portfolio Management,3,01/12/2026,"T,R",1100,1215,PLASTR,203,Nichols,35,35
1338,FIN,0450,TRAD,CLS,Financial Strategy,3,01/12/2026,"T,R",0930,1045,PLASTR,306,Nichols,35,35
1339,FIN,0491,INDV,INT,Internship in Finance,1,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1340,FIN,0491,INDV,INT,Internship in Finance,2,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1342,FIN,0491,INDV,INT,Internship in Finance,3,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1004,FSN,0101,TRAD,CLS,Introduction to Food Science,3,01/12/2026,"M,W,F",0900,0950,REYNLD,320,Silensky,24,24
1787,FSN,0310,TRAD,CLS,Principles of Food Processing,3,01/12/2026,W,1000,1300,TBA,TBA,Silensky,24,24
1343,GB,0301,INET,DLR,Legal Environment Business I,3,01/12/2026,TBA,null,null,ONLINE,TBA,Lonardo,35,35
1454,GB,0301,INET,DLR,Legal Environment Business I,3,01/12/2026,TBA,null,null,ONLINE,TBA,Lonardo,35,35
1457,GB,0301,TRAD,CLS,Legal Environment Business I,3,01/12/2026,"M,W,F",1100,1150,PLASTR,306,Lonardo,35,35
1461,GB,0320,TRAD,CLS,Business Communication,3,01/12/2026,"M,W,F",0800,0850,PLASTR,318,Dawson,35,35
1472,GB,0320,INET,DLR,Business Communication,3,03/09/2026,TBA,null,null,ONLINE,TBA,Dawson,35,35
1478,GB,0320,INET,DLR,Business Communication,3,01/12/2026,TBA,null,null,ONLINE,TBA,Myers,35,35
1480,GB,0321,TRAD,CLS,Business Statistics I,3,01/12/2026,"M,W,F",1100,1150,PLASTR,303,Awasthi,30,30
1481,GB,0321,HYBD,CMB,Business Statistics I,3,01/12/2026,W,0900,1050,PLASTR,103,Eronmwon,35,35
1482,GB,0321,INET,DLR,Business Statistics I,3,01/12/2026,TBA,null,null,ONLINE,TBA,Abrahams,35,35
1483,GB,0337,INET,DLR,Excel Skills for Professionals,3,01/12/2026,TBA,null,null,ONLINE,TBA,Dawson,35,35
1588,GB,0540,HYBD,GL2,Business Forecasting ...,3,03/09/2026,R,1800,2100,PLASTR,303,Awasthi,25,25
1589,GB,0540,INET,GL2,Business Forecasting ...,3,03/09/2026,R,1800,2100,PLASTR,303,Awasthi,25,25
1591,GB,0560,HYBD,GL2,Supply Chain Decision Modeling,3,01/12/2026,R,1800,2100,PLASTR,303,Awasthi,25,25
1592,GB,0560,INET,GL2,Supply Chain Decision Modeling,3,01/12/2026,R,1800,2100,PLASTR,303,Awasthi,25,25
1162,GEOG,0120,TRAD,CLS,Intro to Physical Geography,3,01/12/2026,"T,R",1430,1545,JUSTCE,014,Smith,29,29
1163,GEOG,0120,INET,DLR,Intro to Physical Geography,3,01/12/2026,TBA,null,null,ONLINE,TBA,Smith,35,35
1165,GEOG,0330,HYBD,CMB,"Globalization, DeGlobalization",3,01/12/2026,"M,W",1100,1150,JUSTCE,014,Smith,14,14
1924,GEOG,0404,TRAD,CLS,App in Geographic Info Systems,3,01/12/2026,"T,R",1100,1215,REYNLD,107,Kilmer,6,6
1166,GEOL,0120,HYBD,CMB,Introduction to Geology,4,01/12/2026,W,1400,1550,JUSTCE,015,Smith,20,20
1166,GEOL,0120,HYBD,CMB,Introduction to Geology,4,01/12/2026,"M,W",1000,1050,JUSTCE,014,Smith,20,20
1167,GOLD,0101,TRAD,CLS,Intro to Tactical Leadership,3,01/12/2026,"M,W,F",0600,0700,JUSTCE,130,Weldon,15,15
1167,GOLD,0101,TRAD,CLS,Intro to Tactical Leadership,3,01/12/2026,"T,R",1230,1345,JUSTCE,139,Weldon,15,15
1168,GOLD,0202,TRAD,CLS,Inter. Tactical Leadership,3,01/12/2026,"M,W,F",0600,0700,JUSTCE,130,Hobbs,15,15
1168,GOLD,0202,TRAD,CLS,Inter. Tactical Leadership,3,01/12/2026,"T,R",1100,1215,JUSTCE,139,Hobbs,15,15
